category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Средства и системы контроля и управления доступом;Дополнительное оборудование;Модуль безопасности Hikvision DS-K2M061;DS-K2M061;330766;302917740;Hikvision;Модуль безопасности;Модуль управления;0;0;Под заказ;https://www.tinko.ru/catalog/product/330766/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;Считыватели «Hikvision»;Считыватель карт Mifare Hikvision DS-K1104M;DS-K1104M;266627;302900516;Hikvision;Считыватель карт Mifare;Считыватель;5600.4;5087.03;Под заказ;https://www.tinko.ru/catalog/product/266627/;image.jpg;manual.pdf
Средства и системы контроля и управления доступом;Дополнительное оборудование;Модуль безопасности Hikvision DS-K2M062;DS-K2M062;330767;302918994;Hikvision;Модуль безопасности;Модуль управления;0;0;Под заказ;https://www.tinko.ru/catalog/product/330767/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеорегистраторы NVR (для IP);IP-видеорегистратор 16-канальный Hikvision DS-7616NI-M2/16P;DS-7616NI-M2/16P;326958;303616300;Hikvision;IP-видеорегистратор 16-канальный;Видеорегистратор NVR;38476.8;34949.76;В наличии;https://www.tinko.ru/catalog/product/326958/;image.jpg;document.pdf
Средства и системы охранного телевидения;Клавиатуры и пульты управления;Клавиатура для управления поворотными камерами Hikvision DS-1005KI;DS-1005KI;252263;302600066;Hikvision;Клавиатура для управления поворотными камерами;Пульт управления поворотной камерой;15408.24;13995.82;Под заказ;https://www.tinko.ru/catalog/product/252263/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая Hikvision DS-2CD2683G2-IZS;DS-2CD2683G2-IZS;301910;311316091;Hikvision;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;19329.84;17557.94;В наличии;https://www.tinko.ru/catalog/product/301910/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный Hikvision DS-1273ZJ-DM26-Y;DS-1273ZJ-DM26-Y;272053;302701714;Hikvision;Кронштейн настенный;Кронштейн;4145.04;3765.08;Под заказ;https://www.tinko.ru/catalog/product/272053/;image.jpg;
Средства и системы охранного телевидения;Кронштейны;Кронштейн настенный/угловой Hikvision DS-1602ZJ-box-corner;DS-1602ZJ-box-corner;296047;302700812;Hikvision;Кронштейн настенный/угловой;Кронштейн;7473.84;6788.74;Под заказ;https://www.tinko.ru/catalog/product/296047/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Микрофоны;Микрофон активный миниатюрный Hikvision DS-2FP4021-B;DS-2FP4021-B;272038;304900044;Hikvision;Микрофон активный миниатюрный;Микрофон;12626.64;11469.2;Под заказ;https://www.tinko.ru/catalog/product/272038/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Абонентские устройства;Монитор IP-домофона Hikvision DS-KH6320-TE1;DS-KH6320-TE1;283471;305301408;Hikvision;Монитор IP-домофона;Монитор IP-домофона;8674.8;7879.61;В наличии;https://www.tinko.ru/catalog/product/283471/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Кронштейны;Кронштейн столбовой Hikvision DS-1604ZJ-BOX-POLE-P ;DS-1604ZJ-BOX-POLE-P ;272089;302701933;Hikvision;Кронштейн столбовой;Кронштейн;6516.24;5918.92;Под заказ;https://www.tinko.ru/catalog/product/272089/;image.jpg;
Домофоны и переговорные устройства;Абонентские устройства;Монитор IP-домофона Hikvision DS-KH6320-WTE1;DS-KH6320-WTE1;283472;305301409;Hikvision;Монитор IP-домофона;Монитор IP-домофона;8073.5;7333.43;Под заказ;https://www.tinko.ru/catalog/product/283472/;image.jpg;manual.pdf
Домофоны и переговорные устройства;Абонентские устройства;Монитор IP-домофона Hikvision DS-KH6320-WTDE1;DS-KH6320-WTDE1;325599;305303452;Hikvision;Монитор IP-домофона;Монитор IP-домофона;8468.86;7692.54;Под заказ;https://www.tinko.ru/catalog/product/325599/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;Кнопки выхода «Hikvision»;Кнопка выхода Hikvision DS-K7P03/T;DS-K7P03/T;283489;302908146;Hikvision;Кнопка выхода;Кнопка;1843.83;1674.82;Под заказ;https://www.tinko.ru/catalog/product/283489/;image.jpg;passport.pdf
Домофоны и переговорные устройства;Абонентские устройства;Монитор IP-домофона Hikvision DS-KH8350-WTE1;DS-KH8350-WTE1;283470;305301214;Hikvision;Монитор IP-домофона;Монитор IP-домофона;13141.2;11936.59;В наличии;https://www.tinko.ru/catalog/product/283470/;image.jpg;passport.pdf
Средства и системы контроля и управления доступом;Кнопки выхода «Hikvision»;Кнопка выхода Hikvision DS-K7P04/T;DS-K7P04/T;283490;302908147;Hikvision;Кнопка выхода;Кнопка;2399.04;2179.13;Под заказ;https://www.tinko.ru/catalog/product/283490/;image.jpg;passport.pdf
