category;subcategory;name;model;article;sku;brand;functional_name;nomenclature;price;price_wholesale;availability;product_url;image_file;passport_file
Домофоны и переговорные устройства;Малоабонентные системы;IP-домофонная система удаленного управления электромагнитным замком для установки в помещении HiWatch ДМФ-010;ДМФ-010;304844;;HiWatch;IP-домофонная система удаленного управления электромагнитным замком для установки в помещении;Типовое решение Домофоны;27470.01;;Под заказ;https://www.tinko.ru/catalog/product/304844/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T500L(B)(2.8мм);DS-T500L(B)(2.8мм);353220;327801195;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;3666.35;3330.26;до 3 дней;https://www.tinko.ru/catalog/product/353220/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T200L(С) (2.8мм);DS-T200L(С) (2.8мм);355306;327801194;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;2188.8;1988.16;до 3 дней;https://www.tinko.ru/catalog/product/355306/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T500A(B) (3.6мм);DS-T500A(B) (3.6мм);322683;327800710;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;1983.6;1801.77;Под заказ;https://www.tinko.ru/catalog/product/322683/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch HDC-T020-P(B)(3.6mm);HDC-T020-P(B)(3.6mm);319524;327800439;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;1047.38;951.37;Под заказ;https://www.tinko.ru/catalog/product/319524/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая HiWatch DS-I250M(C) (2.8мм);DS-I250M(C) (2.8мм);324313;311324068;HiWatch;Бюджетная IP-видеокамера цилиндрическая;Видеокамера IP;5204.45;4727.37;Под заказ;https://www.tinko.ru/catalog/product/324313/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T203A(B) (2.8мм);DS-T203A(B) (2.8мм);322688;327800717;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;2100.38;1907.85;В наличии;https://www.tinko.ru/catalog/product/322688/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T203A(B) (3.6мм);DS-T203A(B) (3.6мм);327116;327800718;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;2257.91;2050.94;Под заказ;https://www.tinko.ru/catalog/product/327116/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T209(B) (2.8-12мм);DS-T209(B) (2.8-12мм);297909;300614800;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;3047.39;2768.05;Под заказ;https://www.tinko.ru/catalog/product/297909/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T503A(B) (2.8мм);DS-T503A(B) (2.8мм);322687;327800719;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;2112;1918.4;В наличии;https://www.tinko.ru/catalog/product/322687/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная HiWatch DS-I458Z(B)(2.8-12мм);DS-I458Z(B)(2.8-12мм);323371;311323125;HiWatch;Бюджетная IP-видеокамера купольная;Видеокамера IP;7617.6;6919.32;В наличии;https://www.tinko.ru/catalog/product/323371/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T200L(B)(3.6мм);DS-T200L(B)(3.6мм);327115;327800682;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;2205.28;2003.13;Под заказ;https://www.tinko.ru/catalog/product/327115/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная HiWatch DS-I458ZM(2.8-12.0мм);DS-I458ZM(2.8-12.0мм);350987;311327477;HiWatch;Бюджетная видеокамера IP купольная;Видеокамера IP;7264.8;6598.86;В наличии;https://www.tinko.ru/catalog/product/350987/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T503A(B) (3.6мм);DS-T503A(B) (3.6мм);322689;327800720;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;2784.23;2529.01;Под заказ;https://www.tinko.ru/catalog/product/322689/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная HiWatch IPC-D022-G2/S (2.8mm);IPC-D022-G2/S (2.8mm);296872;311315874;HiWatch;Профессиональная видеокамера IP купольная;Видеокамера IP;8626.38;7835.63;Под заказ;https://www.tinko.ru/catalog/product/296872/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая HiWatch IPC-B082-G2/U (2.8mm);IPC-B082-G2/U (2.8mm);304495;311317371;HiWatch;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;11626.41;10560.65;Под заказ;https://www.tinko.ru/catalog/product/304495/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T200A(B) (3.6мм);DS-T200A(B) (3.6мм);327114;327800708;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;2257.91;2050.94;Под заказ;https://www.tinko.ru/catalog/product/327114/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая HiWatch IPC-B582-G2/4I (4mm);IPC-B582-G2/4I (4mm);303497;311317435;HiWatch;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;12889.58;11708.03;Под заказ;https://www.tinko.ru/catalog/product/303497/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP корпусные;Видеокамера IP компактная HiWatch IPC-C022-G0/W (2.8mm);IPC-C022-G0/W (2.8mm);296907;311315901;HiWatch;Профессиональная видеокамера IP компактная;Видеокамера IP;8626.38;7835.63;Под заказ;https://www.tinko.ru/catalog/product/296907/;image.jpg;manual.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные купольные;Видеокамера мультиформатная купольная HiWatch DS-T508 (2.7-13.5 mm);DS-T508 (2.7-13.5 mm);304784;300615240;HiWatch;Бюджетная видеокамера мультиформатная купольная;Видеокамера мультиформатная;5889.52;5349.65;Под заказ;https://www.tinko.ru/catalog/product/304784/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T206(B) (2.8-12.0мм);DS-T206(B) (2.8-12.0мм);296088;300511996;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;3614.35;3283.03;Под заказ;https://www.tinko.ru/catalog/product/296088/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая HiWatch IPC-B042C-G2/UL(4mm);IPC-B042C-G2/UL(4mm);304887;311318286;HiWatch;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;12784.31;11612.42;Под заказ;https://www.tinko.ru/catalog/product/304887/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;IP-видеокамера цилиндрическая HiWatch DS-I256Z(B)(2.8-12мм);DS-I256Z(B)(2.8-12мм);325759;311323122;HiWatch;Бюджетная IP-видеокамера цилиндрическая;Видеокамера IP;6887.45;6256.1;В наличии;https://www.tinko.ru/catalog/product/325759/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP купольные;IP-видеокамера купольная HiWatch DS-I258ZM (2.8-12.0мм);DS-I258ZM (2.8-12.0мм);360627;311327476;HiWatch;Бюджетная IP-видеокамера купольная;Видеокамера IP;6978.64;6338.93;В наличии;https://www.tinko.ru/catalog/product/360627/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры мультиформатные цилиндрические;Видеокамера мультиформатная цилиндрическая HiWatch DS-T206(C) (2.7-13.5мм);DS-T206(C) (2.7-13.5мм);351178;327801182;HiWatch;Бюджетная видеокамера мультиформатная цилиндрическая;Видеокамера мультиформатная;2848.8;2587.66;В наличии;https://www.tinko.ru/catalog/product/351178/;image.jpg;
Средства и системы охранного телевидения;Видеокамеры IP купольные;Видеокамера IP купольная HiWatch IPC-T042C-G2/SUL(2.8mm);IPC-T042C-G2/SUL(2.8mm);304880;311318289;HiWatch;Профессиональная видеокамера IP купольная;Видеокамера IP;13258;12042.68;Под заказ;https://www.tinko.ru/catalog/product/304880/;image.jpg;passport.pdf
Средства и системы охранного телевидения;Видеокамеры IP цилиндрические;Видеокамера IP цилиндрическая HiWatch IPC-B582-G2/4I (2.8мм);IPC-B582-G2/4I (2.8мм);303496;311317434;HiWatch;Профессиональная видеокамера IP цилиндрическая;Видеокамера IP;12889.58;11708.03;Под заказ;https://www.tinko.ru/catalog/product/303496/;image.jpg;passport.pdf
